from_stop_id,to_stop_id,transfer_type,from_trip_id,to_trip_id
U454Z301,U454Z3P,1,1301_7_180430,221_193_180610
U454Z301,U454Z3P,1,1301_36_180430,221_194_180610
U454Z301,U454Z3P,1,1301_9_180430,221_195_180610
U454Z301,U454Z3P,1,1301_85_180501,221_196_180610
U454Z301,U454Z3P,1,1301_11_180430,221_197_180610
U454Z301,U454Z3P,1,1301_98_180501,221_198_180610
U454Z301,U454Z3P,1,1301_13_180430,221_199_180610
U454Z301,U454Z3P,1,1301_53_180430,221_200_180610
U454Z301,U454Z3P,1,1301_15_180430,221_201_180610
U454Z301,U454Z3P,1,1307_127_180430,221_204_180611
U454Z301,U454Z3P,1,1307_85_180430,221_26_180611
U454Z301,U454Z3P,1,1301_59_180430,221_28_180611
U454Z301,U454Z3P,1,1301_34_180430,221_30_180611
U454Z301,U454Z3P,1,1301_61_180430,221_32_180611
U454Z301,U454Z3P,1,1307_89_180430,221_34_180611
U454Z301,U454Z3P,1,1307_107_180430,221_36_180611
U454Z301,U454Z3P,1,1307_124_180430,221_38_180611
U454Z301,U454Z3P,1,1307_118_180430,221_205_180611
U454Z301,U454Z3P,1,1301_13_180430,221_206_180611
U454Z301,U454Z3P,1,1301_53_180430,221_200_180611
U454Z301,U454Z3P,1,1301_15_180430,221_201_180611
U454Z301,U454Z3P,1,1307_112_180430,221_49_180611
U454Z301,U454Z3P,1,1307_96_180430,221_51_180611
U454Z301,U454Z3P,1,1301_20_180430,221_53_180611
U454Z301,U454Z3P,1,1301_74_180430,221_55_180611
U454Z301,U454Z3P,1,1301_22_180430,221_57_180611
U454Z301,U454Z3P,1,1307_99_180430,221_61_180611
U454Z301,U454Z3P,1,1307_91_180430,221_63_180611
U454Z301,U454Z3P,1,1307_109_180430,221_207_180611
U454Z301,U454Z3P,1,1301_45_180430,221_163_180611
U454Z301,U454Z3P,1,1307_119_180430,221_208_180611
U454Z301,U454Z3P,1,1307_104_180430,221_78_180611
U454Z301,U454Z3P,1,1301_72_180430,221_80_180611
U454Z301,U454Z3P,1,1301_7_180430,221_82_180611
U454Z301,U454Z3P,1,1301_36_180430,221_84_180611
U454Z301,U454Z3P,1,1307_122_180430,221_86_180611
U454Z301,U454Z3P,1,1307_116_180430,221_88_180611
U454Z301,U454Z3P,1,1307_101_180430,221_209_180611
U454Z301,U454Z3P,1,1307_133_180430,221_210_180611
U454Z301,U454Z3P,1,1301_67_180430,221_174_180611
U454Z301,U454Z3P,1,1301_44_180430,221_175_180611
U454Z301,U454Z3P,1,1307_131_180430,221_99_180611
