stop_id,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code
U4327Z1,"Kladno,Vašíčkova",50.14474,14.06966,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vašíčkova",0,,2,A
U4327Z2,"Kladno,Vašíčkova",50.14478,14.06938,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Vašíčkova",0,,2,B
U4328Z1,"Kladno,Energie",50.14745,14.06993,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Energie",0,,2,A
U4328Z2,"Kladno,Energie",50.14730,14.06929,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Energie",0,,2,B
U4329Z1,"Kladno,Havlíčkovo náměstí",50.16682,14.10715,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Havlíčkovo náměstí",0,,2,A
U4329Z2,"Kladno,Havlíčkovo náměstí",50.16744,14.10671,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Havlíčkovo náměstí",0,,2,B
U4329Z3,"Kladno,Havlíčkovo náměstí",50.16735,14.10666,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Havlíčkovo náměstí",0,,2,C
U4330Z301,"Zlonice",50.28500,14.07817,"5","https://pid.cz/zastavkova-tabla?stop=Zlonice",0,U4330S1,2,
U4330Z302,"Zlonice",50.28500,14.07817,"5","https://pid.cz/zastavkova-tabla?stop=Zlonice",0,U4330S1,2,
U4335Z1,"Tismice,Hřbitov",50.05516,14.82541,"3","https://pid.cz/zastavkova-tabla?stop=Tismice,Hřbitov",0,,2,A
U4335Z2,"Tismice,Hřbitov",50.05515,14.82498,"3","https://pid.cz/zastavkova-tabla?stop=Tismice,Hřbitov",0,,2,B
U4339Z1,"Kunice,Všešímy,SŠŘ",49.92019,14.68867,"2","https://pid.cz/zastavkova-tabla?stop=Kunice,Všešímy,SŠŘ",0,,2,A
U4341Z1,"Lysá n.L.,Ke Karlovu",50.18777,14.80317,"3","https://pid.cz/zastavkova-tabla?stop=Lysá n.L.,Ke Karlovu",0,,2,A
U4342Z1,"Lysá n.L.,Byšičky",50.18058,14.79408,"3","https://pid.cz/zastavkova-tabla?stop=Lysá n.L.,Byšičky",0,,2,A
U4349Z351,"Mělnická Vrutice",50.34435,14.54659,"4","https://pid.cz/zastavkova-tabla?stop=Mělnická Vrutice",0,U4349S1,2,
U4349Z352,"Mělnická Vrutice",50.34435,14.54659,"4","https://pid.cz/zastavkova-tabla?stop=Mělnická Vrutice",0,U4349S1,2,
U4350Z351,"Hleďsebe",50.36369,14.56249,"4","https://pid.cz/zastavkova-tabla?stop=Hleďsebe",0,U4350S1,2,
U4350Z352,"Hleďsebe",50.36369,14.56249,"4","https://pid.cz/zastavkova-tabla?stop=Hleďsebe",0,U4350S1,2,
U4351Z351,"Lhotka u Mělníka zast.",50.37332,14.55099,"4","https://pid.cz/zastavkova-tabla?stop=Lhotka u Mělníka zastávka",0,U4351S1,2,
U4351Z352,"Lhotka u Mělníka zast.",50.37332,14.55099,"4","https://pid.cz/zastavkova-tabla?stop=Lhotka u Mělníka zastávka",0,U4351S1,2,
U4352Z351,"Lhotka u Mělníka",50.38196,14.54185,"4","https://pid.cz/zastavkova-tabla?stop=Lhotka u Mělníka",0,U4352S1,2,
U4352Z352,"Lhotka u Mělníka",50.38196,14.54185,"4","https://pid.cz/zastavkova-tabla?stop=Lhotka u Mělníka",0,U4352S1,2,
U4353Z351,"Nebužely",50.38619,14.58969,"5","https://pid.cz/zastavkova-tabla?stop=Nebužely",0,U4353S1,2,
U4353Z352,"Nebužely",50.38619,14.58969,"5","https://pid.cz/zastavkova-tabla?stop=Nebužely",0,U4353S1,2,
U4354Z351,"Živonín",50.39398,14.61310,"5","https://pid.cz/zastavkova-tabla?stop=Živonín",0,U4354S1,2,
U4354Z352,"Živonín",50.39398,14.61310,"5","https://pid.cz/zastavkova-tabla?stop=Živonín",0,U4354S1,2,
U4355Z1,"Mšeno,rozc.Velký Újezd 1.2",50.41434,14.61784,"5","https://pid.cz/zastavkova-tabla?stop=Mšeno,rozc.Velký Újezd 1.2",0,,2,A
U4355Z2,"Mšeno,rozc.Velký Újezd 1.2",50.41421,14.61779,"5","https://pid.cz/zastavkova-tabla?stop=Mšeno,rozc.Velký Újezd 1.2",0,,2,B
U4355Z351,"Kanina",50.41568,14.61487,"5","https://pid.cz/zastavkova-tabla?stop=Kanina (vlak)",0,U4355S1,2,
U4355Z352,"Kanina",50.41568,14.61487,"5","https://pid.cz/zastavkova-tabla?stop=Kanina (vlak)",0,U4355S1,2,
U4356Z301,"Mšeno",50.43573,14.64086,"6","https://pid.cz/zastavkova-tabla?stop=Mšeno (vlak)",0,U4356S1,2,
U4356Z302,"Mšeno",50.43573,14.64086,"6","https://pid.cz/zastavkova-tabla?stop=Mšeno (vlak)",0,U4356S1,2,
U4357Z1P,"Dolnočernošická",49.95982,14.32904,"P","https://pid.cz/zastavkova-tabla?stop=Dolnočernošická",0,,0,A
U4357Z2P,"Dolnočernošická",49.95941,14.32894,"P","https://pid.cz/zastavkova-tabla?stop=Dolnočernošická",0,,0,B
U4358Z1,"Nová Ves,Nové Ouholice,U Havlínů",50.30342,14.31768,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves,Nové Ouholice,U Havlínů",0,,2,A
U4359Z1,"Nová Ves,Vepřek,U Fary",50.30845,14.32387,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves,Vepřek,U Fary",0,,2,A
U4360Z1,"Nelahozeves,Rozc. Staré Ouholice",50.28452,14.31360,"3","https://pid.cz/zastavkova-tabla?stop=Nelahozeves,Rozc. Staré Ouholice",0,,2,A
U4360Z2,"Nelahozeves,Rozc. Staré Ouholice",50.28575,14.31323,"3","https://pid.cz/zastavkova-tabla?stop=Nelahozeves,Rozc. Staré Ouholice",0,,2,B
U4361Z1,"Nová Ves,Staré Ouholice",50.29003,14.32188,"3","https://pid.cz/zastavkova-tabla?stop=Nová Ves,Staré Ouholice",0,,2,A
U4362Z1,"Kladno,Zdrav.stř.",50.13017,14.12609,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Zdrav.stř.",0,,2,A
U4362Z2,"Kladno,Zdrav.stř.",50.12907,14.12615,"3","https://pid.cz/zastavkova-tabla?stop=Kladno,Zdrav.stř.",0,,2,B
U4363Z1,"Nová Ves,Rozc.",50.30875,14.31428,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves,Rozc.",0,,2,A
U4363Z2,"Nová Ves,Rozc.",50.30868,14.31450,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves,Rozc.",0,,2,B
U4364Z1,"Nová Ves",50.31285,14.30970,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves (Mělník)",0,,2,A
U4364Z2,"Nová Ves",50.31306,14.30990,"4","https://pid.cz/zastavkova-tabla?stop=Nová Ves (Mělník)",0,,2,B
U4365Z1,"Ledčice,Rozc.",50.33528,14.28368,"4","https://pid.cz/zastavkova-tabla?stop=Ledčice,Rozc.",0,,2,A
U4365Z2,"Ledčice,Rozc.",50.33538,14.28393,"4","https://pid.cz/zastavkova-tabla?stop=Ledčice,Rozc.",0,,2,B
U4366Z1,"Ledčice",50.34111,14.29427,"4","https://pid.cz/zastavkova-tabla?stop=Ledčice",0,,2,A
U4366Z2,"Ledčice",50.34097,14.29388,"4","https://pid.cz/zastavkova-tabla?stop=Ledčice",0,,2,B
U4367Z2,"Černouček",50.36097,14.30722,"5","https://pid.cz/zastavkova-tabla?stop=Černouček",0,,2,B
U4369Z1,"Horní Beřkovice",50.35923,14.34588,"5","https://pid.cz/zastavkova-tabla?stop=Horní Beřkovice",0,,2,A
U4369Z1_180610,"Horní Beřkovice,ObÚ",50.35923,14.34588,"5","https://pid.cz/zastavkova-tabla?stop=Horní Beřkovice,ObÚ",0,,2,A
U4369Z2,"Horní Beřkovice",50.35940,14.34570,"5","https://pid.cz/zastavkova-tabla?stop=Horní Beřkovice",0,,2,B
U4369Z2_180610,"Horní Beřkovice,ObÚ",50.35940,14.34570,"5","https://pid.cz/zastavkova-tabla?stop=Horní Beřkovice,ObÚ",0,,2,B
U4370Z1,"Jeviněves",50.34467,14.33787,"4","https://pid.cz/zastavkova-tabla?stop=Jeviněves",0,,2,A
